id,name,ministry,category,gender,min_age,max_age,state,max_income,business_stage,sector,area,benefit_type,benefits,documents,application_process,official_url
11,Procurement and Marketing Support Scheme (PMS),Ministry of Micro Small & Medium Enterprises,MSME;Marketing,All,18,65,All India,1000000,Existing,Manufacturing;Service,All India,Marketing assistance,Support for marketing activities and domestic trade fairs,MSME registration and prescribed documents,Apply through designated implementing agencies,https://my.msme.gov.in/
12,International Cooperation Scheme,Ministry of Micro Small & Medium Enterprises,MSME;Export;International Marketing,All,18,65,All India,1000000,Existing,Manufacturing;Service,All India,International marketing assistance;Exhibition support,Support for eligible international cooperation and market access,Documents prescribed under scheme guidelines,Apply through prescribed MSME process,https://ic.msme.gov.in/
13,Entrepreneurship and Skill Development Programme (ESDP),Ministry of Micro Small & Medium Enterprises,Entrepreneurship;Skill Development,All,18,65,All India,800000,New;Prospective,Manufacturing;Service;Entrepreneurship,All India,Training;Skill development,Entrepreneurship and skill development training through MSME institutes,Registration and documents prescribed by training programme,Apply through designated MSME training programme,https://www.msme.gov.in/
14,Assistance to Training Institutions (ATI),Ministry of Micro Small & Medium Enterprises,Training;Entrepreneurship,All,18,65,All India,1000000,Training institution,Entrepreneurship;Skill development,All India,Institutional assistance,Assistance to eligible training institutions for entrepreneurship,Institutional documents prescribed by scheme,Eligible institutions apply through MSME process,https://www.msme.gov.in/
15,Performance and Credit Rating Scheme,Ministry of Micro Small & Medium Enterprises,MSME;Credit Rating,All,18,65,All India,1000000,Existing,Manufacturing;Service;Trading,All India,Financial assistance,Assistance for obtaining performance and credit rating from empanelled agencies,MSME registration and prescribed documents,Apply through prescribed MSME process,https://www.msme.gov.in/
16,Marketing Assistance and Technology Upgradation Scheme (MATU),Ministry of Micro Small & Medium Enterprises,MSME;Marketing;Technology,All,18,65,All India,1000000,Existing,Manufacturing;Service,All India,Marketing support;Technology support,Support for marketing assistance and technology upgradation,MSME registration and prescribed documents,Apply through designated MSME implementing process,https://www.msme.gov.in/
17,Design Clinic Scheme for Design Expertise to MSMEs,Ministry of Micro Small & Medium Enterprises,MSME;Design;Innovation,All,18,65,All India,1000000,Existing,Manufacturing;Product development,All India,Design support;Consultancy,Design intervention and professional design support for MSMEs,MSME registration and prescribed documents,Apply through official Design Clinic process,https://www.msme.gov.in/
18,Marketing Support/Assistance to MSMEs - Bar Code,Ministry of Micro Small & Medium Enterprises,MSME;Marketing;Technology,All,18,65,All India,1000000,Existing,Manufacturing;Service;Trading,All India,Financial assistance;Technology adoption,Support for eligible MSMEs towards barcode registration,MSME registration and prescribed documents,Apply through prescribed MSME process,https://www.msme.gov.in/
19,MSME TEAM Initiative,Ministry of Micro Small & Medium Enterprises,MSME;Digitalisation;E-Commerce,All,18,65,All India,1000000,Existing,Manufacturing;Service;Trading,All India,Digital support;E-commerce enablement,Digitalisation and e-commerce enablement support for MSMEs,MSME/Udyam details and documents as prescribed,Apply through official TEAM onboarding process,https://www.msme.gov.in/
20,MSME SPICE Scheme,Ministry of Micro Small & Medium Enterprises,MSME;Circular Economy,All,18,65,All India,1000000,Existing,Manufacturing;Circular economy,All India,Financial assistance;Technology support,Support for circular economy and resource-efficiency interventions,MSME registration and prescribed documents,Apply through official SPICE process,https://www.msme.gov.in/
21,MSME GIFT Scheme,Ministry of Micro Small & Medium Enterprises,MSME;Green Finance,All,18,65,All India,1000000,Existing,Manufacturing;Service;Green technology,All India,Finance;Technology support,Support for green technology and finance interventions under the scheme,MSME registration and prescribed documents,Apply through official GIFT process,https://www.msme.gov.in/
22,MSME ODR Portal Initiative,Ministry of Micro Small & Medium Enterprises,MSME;Delayed Payments,All,18,65,All India,1000000,Existing,Manufacturing;Service;Trading,All India,Dispute resolution,Online dispute resolution support for MSME payment disputes,MSME/Udyam and dispute documents,Use official ODR process as applicable,https://samadhaan.msme.gov.in/
23,Technology Centre Systems Programme,Ministry of Micro Small & Medium Enterprises,Technology;MSME,All,18,65,All India,1000000,New;Existing,Manufacturing;Engineering;Technology,All India,Technology services;Skill development,Technology and skilled human-resource support through Technology Centres,Documents required for applicable Technology Centre service,Approach through Technology Centre services,https://www.msme.gov.in/
24,Establishment of New Technology Centres and Extension Centres,Ministry of Micro Small & Medium Enterprises,Technology;MSME Infrastructure,All,18,65,All India,1000000,Existing,Manufacturing;Technology;Skill development,All India,Technology support;Advisory;Skill development,Technology solutions and advisory services through Technology Centres,Documents as required by respective centre,Access services through Technology Centre network,https://dashboard.msme.gov.in/
25,Khadi and Gramodyog Vikas Yojana (KGVY),Ministry of Micro Small & Medium Enterprises,Khadi;Village Industry;Self-Employment,All,18,65,All India,800000,New;Existing,Khadi;Village industries;Traditional industry,Rural,Enterprise support;Skill;Infrastructure;Marketing,Support for development of khadi and village industries under KVIC,Documents prescribed by applicable KVIC component,Apply through applicable KVIC/KVIB process,https://www.kviconline.gov.in/
26,Coir Vikas Yojana,Ministry of Micro Small & Medium Enterprises,Coir;MSME;Rural Industry,All,18,65,All India,800000,New;Existing,Coir;Coconut-based industry,Rural,Subsidy;Skill development;Infrastructure,Financial and development assistance for coir units,Documents prescribed under Coir Vikas Yojana guidelines,Apply through Coir Board and applicable offices,https://coirboard.gov.in/
27,Coir Udyami Yojana,Ministry of Micro Small & Medium Enterprises,Coir;Self-Employment;MSME,All,18,65,All India,1000000,New,Coir;Manufacturing,Rural,Credit-linked subsidy,40% Government subsidy and 55% bank loan for eligible projects,Documents prescribed in Coir Udyami Yojana guidelines,Apply through Coir Board/DIC/bank process,https://coirboard.gov.in/
28,Development of Production Infrastructure under Coir Vikas Yojana,Ministry of Micro Small & Medium Enterprises,Coir;MSME,All,18,65,All India,1000000,New;Existing,Coir;Manufacturing,Rural,Capital subsidy,Subsidy of 25% of eligible equipment cost subject to ceilings,Documents prescribed by Coir Board,Apply through Coir Board implementing process,https://coirboard.gov.in/
29,Skill Upgradation and Mahila Coir Yojana,Ministry of Micro Small & Medium Enterprises,Coir;Women;Skill Development,Women,18,65,All India,600000,New;Prospective,Coir;Spinning;Traditional industry,Rural,Training;Equipment support,Skill and entrepreneurship programmes for women in coir sector,Documents prescribed by Coir Board,Apply through Coir Board training programme,https://coirboard.gov.in/
30,Coir Industry Technology Upgradation Scheme (CITUS),Ministry of Micro Small & Medium Enterprises,Coir;Technology,All,18,65,All India,1000000,Existing,Coir;Manufacturing,Rural,Technology upgradation;Financial assistance,Technology upgradation assistance for coir industry units,Documents prescribed under CITUS guidelines,Apply through Coir Board process,https://coirboard.gov.in/
31,Science and Technology Scheme - Coir Board,Ministry of Micro Small & Medium Enterprises,Coir;Research;Technology,All,18,65,All India,1000000,New;Existing,Coir;Technology;Product development,All India,Technology development;Research support,Science and technology support for development of coir sector,Documents prescribed by Coir Board,Apply through applicable Coir Board programme,https://coirboard.gov.in/
32,National Handicrafts Development Programme (NHDP),Ministry of Textiles,Handicrafts;Artisan,All,18,65,All India,800000,New;Existing,Handicrafts;Artisan crafts,All India,Training;Marketing;Infrastructure;Technology,Support for handicraft artisans covering marketing and training,Artisan and scheme-specific documents,Apply through Development Commissioner Handicrafts portal,https://handicrafts.nic.in/
33,Comprehensive Handicrafts Cluster Development Scheme (CHCDS),Ministry of Textiles,Handicrafts;Cluster,All,18,65,All India,1000000,Existing;Cluster,Handicrafts,All India,Cluster development;Infrastructure;Technology;Marketing,Support for development of handicraft clusters through infrastructure,Documents prescribed under CHCDS,Apply through Development Commissioner Handicrafts process,https://handicrafts.nic.in/
34,Marketing Support and Services Scheme - Handicrafts,Ministry of Textiles,Handicrafts;Marketing,All,18,65,All India,800000,Existing,Handicrafts,All India,Marketing assistance,Support for domestic marketing events for handicraft artisans,Artisan/implementing agency documents as prescribed,Apply through official Handicrafts marketing process,https://handicrafts.nic.in/
35,Infrastructure and Technology Support - Handicrafts,Ministry of Textiles,Handicrafts;Technology,All,18,65,All India,1000000,Existing,Handicrafts;Craft production,All India,Infrastructure;Technology support,Infrastructure and technology support for eligible handicraft activities,Documents prescribed under NHDP,Apply through Development Commissioner Handicrafts process,https://handicrafts.nic.in/
36,Design and Technology Development Workshops - Handicrafts,Ministry of Textiles,Handicrafts;Design;Training,All,18,65,All India,800000,New;Existing,Handicrafts;Design,All India,Training;Design support;Technology support,Design and technical guidance with training facilities for artisans,Documents prescribed by implementing agency,Apply through Handicrafts Service Centre,https://handicrafts.nic.in/
37,Artisan Producer Company support under NHDP,Ministry of Textiles,Handicrafts;Artisan Enterprise,All,18,65,All India,1000000,Existing,Handicrafts;Artisan producer groups,All India,Institution building;Market support,Support for formation and development of artisan producer companies,Documents prescribed by Development Commissioner Handicrafts,Apply through official NHDP process,https://handicrafts.nic.in/
38,Support to Artisans in Indigent Circumstances,Ministry of Textiles,Handicrafts;Artisan Welfare,All,60,85,All India,100000,Existing,Handicrafts,All India,Financial assistance,Financial support for eligible master craftspersons in indigent circumstances,Income certificate;affidavit;award eligibility documents,Apply through Development Commissioner Handicrafts process,https://handicrafts.nic.in/
39,Bima Yojana to Handicrafts Artisans - PMJJBY component,Ministry of Textiles,Handicrafts;Insurance,All,18,50,All India,800000,Existing,Handicrafts,All India,Insurance,Life insurance cover for eligible handicraft artisans with valid Artisan Card,Valid Artisan Card and documents prescribed for PMJJBY,Apply through applicable PMJJBY channel as prescribed,https://handicrafts.nic.in/
40,Hathkargha Samvardhan Sahayata (HSS),Ministry of Textiles,Handloom;Weaver,All,18,65,All India,800000,Existing,Handloom,All India,Input support;Technology support,Support under handloom development programme for weavers,Documents prescribed by Development Commissioner Handlooms,Apply through designated implementing agencies,https://handlooms.nic.in/
41,Samarth - Scheme for Capacity Building in Textiles Sector,Ministry of Textiles,Textile;Skill Development,All,18,65,All India,800000,New;Prospective,Textiles;Handloom;Handicrafts;Apparel,All India,Training;Skill development,Skill development and capacity-building training under Samarth,Documents prescribed by implementing agency,Apply through implementing agencies and approved centres,https://samarth.gov.in/
42,Government e-Marketplace onboarding for Handloom Weavers,Ministry of Textiles,Handloom;Marketing;E-Commerce,All,18,65,All India,1000000,Existing,Handloom,All India,Market access;E-commerce,Marketing facility for direct selling of handloom products to Govt departments,Weaver documents prescribed for onboarding,Apply through official GeM handloom onboarding process,https://gem.gov.in/
43,National Handloom Development Programme - Scholarship Component,Ministry of Textiles,Handloom;Scholarship,All,18,30,All India,600000,New;Existing,Handloom;Education,All India,Scholarship,Scholarship support under National Handloom Development Programme,Documents prescribed under scholarship component,Apply through prescribed implementing channel,https://handlooms.nic.in/
44,PM Vishwakarma,Ministry of Micro Small & Medium Enterprises,Artisan;Self-Employment;MSME,All,18,65,All India,500000,New;Existing,Traditional trades;Handicrafts,All India,Training;Toolkit incentive;Credit support;Marketing,Skill training toolkit incentive credit support up to 3 Lakhs,Identity and scheme-specific documents as prescribed,Register through CSC or official PM Vishwakarma portal,https://pmvishwakarma.gov.in/
45,PM SVANidhi,Ministry of Housing and Urban Affairs,Street Vendor;Self-Employment,All,18,65,All India,300000,Existing,Street vending;Retail,Urban,Working capital loan;Interest subsidy;Digital incentive,Working capital loan up to 50000 with interest subsidy,Vendor and KYC documents prescribed by scheme,Apply through PM SVANidhi portal or Urban Local Body,https://pmsvanidhi.mohua.gov.in/
46,Pradhan Mantri MUDRA Yojana (PMMY),Ministry of Finance,Self-Employment;Micro Enterprise,All,18,65,All India,1000000,New;Existing,Micro enterprise;Manufacturing;Trading;Services,All India,Institutional credit,Collateral-free loans up to 10 Lakhs under Shishu Kishore Tarun,Documents required by lending institution,Apply through eligible banks NBFCs MFIs under PMMY,https://www.mudra.org.in/
47,Stand-Up India,Ministry of Finance,Entrepreneurship;Credit,Women;SC;ST,18,65,All India,1500000,New enterprise,Manufacturing;Services;Trading,All India,Bank loan,Bank loans between 10 Lakhs and 1 Crore for greenfield units,Identity address enterprise and financial documents,Apply through Stand-Up India portal or bank,https://www.standupmitra.in/
48,National Livelihood Mission - Self Employment Programme,Ministry of Housing and Urban Affairs,Self-Employment;Urban Livelihood,All,18,65,All India,300000,New;Existing,Micro enterprise;Services;Manufacturing,Urban,Credit subsidy;Self-employment support,Self-employment financial support for eligible urban poor,Documents prescribed by urban local body and bank,Apply through Urban Local Body or NULM process,https://nulm.gov.in/
49,Khadi Gramodyog Vikas Yojana - Village Industries Support,Ministry of Micro Small & Medium Enterprises,Village Industry;Self-Employment,All,18,65,All India,800000,New;Existing,Village industries;Traditional industries;Handicrafts,Rural,Enterprise development;Skill;Marketing,Support for village industry development through KVIC interventions,Documents prescribed by KVIC component,Apply through KVIC KVIB DIC as applicable,https://www.kviconline.gov.in/
50,Promotion of MSMEs in North Eastern Region and Sikkim,Ministry of Micro Small & Medium Enterprises,MSME;Regional Development,All,18,65,All India,1200000,New;Existing,Manufacturing;Services;Traditional industry,All India,Infrastructure;Capacity building;Market support,Support for development of MSMEs under applicable components,Documents prescribed under applicable MSME guidelines,Apply through designated MSME implementing agencies,https://www.msme.gov.in/
